sample,exposure,concentration,well,fish,n_peaks,mean_ibi_ms,sdnn_ms,rmssd_ms,cv_ibi,pnn50,mean_hr_bpm,arrhythmia_risk_score,arrhythmia_probability,arrhythmia_score_cv,arrhythmia_score_rmssd,arrhythmia_score_outlier,arrhythmia_outlier_fraction,arrhythmia_data_sufficient,arrhythmia_quality_flag,arrhythmia_ibi_count,arrhythmia_threshold,paired_ttest_pvalue_vs_control0_mean_ibi,paired_ttest_pvalue_terf_vs_phe_mean_ibi,uncoupled_peak_count,uncoupled_peak_fraction,contraction_amplitude_mean,contraction_amplitude_std,contraction_amplitude_range,force_of_contraction_mean_au,force_of_contraction_std_au,force_of_contraction_peak_au,transient_rise_time_mean_ms,transient_decay_time_mean_ms,transient_fwhm_mean_ms,transient_duration_mean_ms,Arrhymia,snr,baseline_drift
Terf_20_1.2,Terf,20,1,2,17,916.66666875,1358.2806138917438,1718.3758897629816,1.4817606663324463,60.0,65.45454530578513,0.998942439052505,0.998942439052505,1.0,1.0,0.9968273171575148,0.4375,True,ok,16,0.5,0.17183985834546717,0.4525427598451543,0,0.0,47.50056470588235,69.97838088800124,247.90120000000002,9.70435010964912,2.9343114832448367,28.3182,385.2941470588235,135.2940588235295,144.87165384615412,520.5882058823529,True,44.37751242498068,554.8218
Terf_20_1.3,Terf,20,1,3,29,516.6666535714286,33.64056805446399,42.431242375051575,0.06511077852988091,25.925925925925927,116.12903520142716,0.07850834524164586,0.07850834524164586,0.07265006886870513,0.11544909367866568,0.04742587317756678,0.0,True,ok,28,0.5,2.2790287958617773e-09,0.4525427598451543,0,0.0,122.3330275862069,7.032828206494804,35.7345,60.20225769230769,19.509607978555614,128.3795,250.57471724137935,237.93107586206887,293.1034758620689,488.5057931034482,False,24.263895323805436,52.59940000000002
Terf_20_2.1,Terf,20,2,1,30,398.850575862069,54.72346835268124,103.26984339904658,0.1372029317856765,92.85714285714286,150.4322762235381,0.47196951427982253,0.47196951427982253,0.4051837066116837,0.9632989630502172,0.04742587317756678,0.0,True,ok,29,0.5,0.011068547952087613,0.4525427598451543,0,0.0,61.98004666666666,17.363010800484666,75.0292,49.46948072122053,17.16920386095819,106.4353,188.3333233333333,161.66662000000008,190.83326000000017,349.9999433333334,False,21.917906171226697,23.952849999999998
Terf_20_2.2,Terf,20,2,2,27,434.6153730769231,69.7493436543945,134.86638441287843,0.16048521974865687,100.0,138.0531010102593,0.5391119416250941,0.5391119416250941,0.5779970822309956,0.9919128694667201,0.04742587317756678,0.0,True,ok,26,0.5,0.8633231936577529,0.4525427598451543,0,0.0,112.99618518518518,11.670137273884594,64.2985,76.4601510989011,31.756199000417407,176.0572,219.7530370370371,183.33332592592598,240.74062777777797,403.08636296296305,True,25.92891009795838,95.28435
Terf_20_2.3,Terf,20,2,3,26,470.66665200000006,89.53069115840536,137.3947871879258,0.19022102113664374,16.666666666666668,127.47875751350234,0.6184973801801164,0.6184973801801164,0.7697022356879705,0.9860394157326934,0.09975048911968518,0.04,True,ok,25,0.5,0.05813485662778102,0.4525427598451543,0,0.0,167.27449230769233,57.32499575831768,326.78520000000003,88.5085165100671,28.137894405122545,235.7158,221.1538076923078,216.66674999999984,194.6666160000001,437.8205576923076,True,25.032699697541403,231.6678
Terf_30_1.1,Terf,30,1,1,20,720.175457894737,254.3194796685969,383.5547875623456,0.35313544342657816,100.0,83.31303065421841,0.9227101859756891,0.9227101859756891,0.9977488565320857,0.9999896400821102,0.7703920613128716,0.21052631578947367,True,ok,19,0.5,7.249972691294672e-05,0.4525427598451543,0,0.0,114.90281499999999,18.98957862716104,84.44849999999998,47.230720965971464,26.452945634573116,144.7818,211.6666350000001,254.16664499999996,247.91679999999985,465.8332800000001,True,27.00847601169179,64.67739999999999
Terf_30_1.2,Terf,30,1,2,15,1038.0952142857143,253.3897173375002,150.63971451820456,0.24409101771252353,23.076923076923077,57.7981664632607,0.730238577496015,0.730238577496015,0.9438918508336293,0.46340297742259146,0.783420904231824,0.21428571428571427,True,ok,14,0.5,8.346032837731382e-07,0.4525427598451543,0,0.0,40.13904000000001,14.250121139775818,45.2341,14.154824890350877,7.515968988143906,37.1377,415.55550666666676,321.1112266666665,283.3333,736.6667333333332,True,32.373559788401586,106.6747
Terf_30_2.1,Terf,30,2,1,9,1318.7499625,222.79557899540322,317.2299448927455,0.16894451968214044,71.42857142857143,45.49763162552507,0.6513063737526082,0.6513063737526082,0.6383790327022631,0.9379994197574161,0.3775406687981454,0.125,True,ok,8,0.5,9.07352539454702e-06,0.4525427598451543,0,0.0,142.1947777777778,31.963040520645784,108.79409999999999,41.36120906555091,23.89721369891435,135.7525,492.5925222222223,633.3334888888887,788.0950000000004,1125.926011111111,True,29.07036750869254,115.7857
Terf_30_2.2,Terf,30,2,2,20,590.3508947368421,74.8075050400655,144.55119794481325,0.1267170181446275,100.0,101.6344694908033,0.441556223506088,0.441556223506088,0.3321472200001987,0.9450955773404984,0.04742587317756678,0.0,True,ok,19,0.5,8.169036991839273e-09,0.4525427598451543,0,0.0,162.15183000000002,20.69464339149525,50.260200000000026,39.250105817174514,30.850893658316423,181.6039,150.83337499999993,276.6666350000001,172.5000649999999,427.50001000000003,False,23.978319924871577,44.7048
Terf_30_2.3,Terf,30,2,3,16,754.44442,44.75106832835202,80.05477936250848,0.05931658733502465,42.857142857142854,79.52872128075386,0.10685752922757669,0.10685752922757669,0.06177434277807134,0.21137237172709192,0.04742587317756678,0.0,True,ok,15,0.5,1.335271678826983e-13,0.4525427598451543,0,0.0,172.39214375,27.314454490055105,104.0222,53.46870638002773,39.78944666526524,205.8885,218.74995625000008,270.83327500000007,199.9999250000002,489.58323125000015,False,29.91722690548447,128.1309
